pid,max_value_column,max_value,date
D20240215T150055_IFCB010_00089,Cryptophyta,0.9995,20240215
D20240215T150055_IFCB010_00090,fiber,1.0,20240215
D20240215T150055_IFCB010_00091,detritus,0.966,20240215
D20240215T150055_IFCB010_00092,detritus,0.872,20240215
D20240215T150055_IFCB010_00094,fiber,1.0,20240215
D20240215T150055_IFCB010_00095,detritus,0.9614,20240215
D20240215T150055_IFCB010_00096,detritus_transparent,0.983,20240215
D20240215T150055_IFCB010_00097,Chaetoceros_didymus,0.7656,20240215
D20240215T150055_IFCB010_00098,fiber,1.0,20240215
D20240215T150055_IFCB010_00099,nanoplankton_mix,0.9917,20240215
D20240215T150055_IFCB010_00100,fiber,0.9585,20240215
D20240215T150055_IFCB010_00101,nanoplankton_mix,0.653,20240215
D20240215T150055_IFCB010_00102,Asterionellopsis_glacialis,1.0,20240215
D20240215T150055_IFCB010_00103,Cryptophyta,0.9956,20240215
D20240215T150055_IFCB010_00104,fiber,0.9976,20240215
D20240215T150055_IFCB010_00106,nanoplankton_mix,0.982,20240215
D20240215T150055_IFCB010_00107,nanoplankton_mix,0.999,20240215
D20240215T150055_IFCB010_00108,fiber,1.0,20240215
D20240215T150055_IFCB010_00109,nanoplankton_mix,0.4924,20240215
D20240215T150055_IFCB010_00110,Thalassiosira_TAG_external_detritus,0.5435,20240215
D20240215T150055_IFCB010_00111,detritus,0.9844,20240215
D20240215T150055_IFCB010_00112,detritus,0.7217,20240215
D20240215T150055_IFCB010_00113,nanoplankton_mix,0.993,20240215
D20240215T150055_IFCB010_00114,detritus,0.9966,20240215
D20240215T150055_IFCB010_00115,Thalassiosira_TAG_external_detritus,0.8794,20240215
D20240215T150055_IFCB010_00116,Leptocylindrus,1.0,20240215
D20240215T150055_IFCB010_00117,nanoplankton_mix,0.959,20240215
D20240215T150055_IFCB010_00120,Cryptophyta,0.746,20240215
D20240215T150055_IFCB010_00122,nanoplankton_mix,0.839,20240215
D20240215T150055_IFCB010_00123,Asterionellopsis_glacialis,0.832,20240215
D20240215T150055_IFCB010_00124,nanoplankton_mix,0.73,20240215
D20240215T150055_IFCB010_00125,Thalassiosira_TAG_external_detritus,0.9937,20240215
D20240215T150055_IFCB010_00127,nanoplankton_mix,0.9014,20240215
D20240215T150055_IFCB010_00128,detritus_transparent,0.5293,20240215
D20240215T150055_IFCB010_00129,detritus,0.999,20240215
D20240215T150055_IFCB010_00130,Heterocapsa_rotundata,0.6987,20240215
D20240215T150055_IFCB010_00131,Leptocylindrus,1.0,20240215
D20240215T150055_IFCB010_00132,Leptocylindrus,1.0,20240215
D20240215T150055_IFCB010_00133,fiber,0.9927,20240215
D20240215T150055_IFCB010_00134,detritus,0.992,20240215
D20240215T150055_IFCB010_00135,Leptocylindrus,0.5938,20240215
D20240215T150055_IFCB010_00136,Amphidinium,0.985,20240215
D20240215T150055_IFCB010_00137,detritus,1.0,20240215
D20240215T150055_IFCB010_00139,Bacillariophyceae,0.5176,20240215
D20240215T150055_IFCB010_00140,detritus,0.999,20240215
D20240215T150055_IFCB010_00141,fiber,0.9995,20240215
D20240215T150055_IFCB010_00142,detritus,0.583,20240215
D20240215T150055_IFCB010_00143,nanoplankton_mix,0.999,20240215
D20240215T150055_IFCB010_00144,fiber_TAG_external_detritus,1.0,20240215
D20240215T150055_IFCB010_00145,nanoplankton_mix,0.9526,20240215
D20240215T150055_IFCB010_00146,nanoplankton_mix,0.9883,20240215
D20240215T150055_IFCB010_00147,Asterionellopsis_glacialis,0.819,20240215
D20240215T150055_IFCB010_00148,Proterythropsis,0.9937,20240215
D20240215T150055_IFCB010_00149,detritus,0.9995,20240215
D20240215T150055_IFCB010_00150,Gyrodinium,0.9204,20240215
D20240215T150055_IFCB010_00151,nanoplankton_mix,0.8857,20240215
D20240215T150055_IFCB010_00152,nanoplankton_mix,0.9854,20240215
D20240215T150055_IFCB010_00153,detritus,0.989,20240215
D20240215T150055_IFCB010_00154,detritus,0.994,20240215
D20240215T150055_IFCB010_00155,detritus,0.999,20240215
D20240215T150055_IFCB010_00156,fiber,0.9473,20240215
D20240215T150055_IFCB010_00157,detritus,0.999,20240215
D20240215T150055_IFCB010_00158,Leptocylindrus,1.0,20240215
D20240215T150055_IFCB010_00159,fiber_TAG_external_detritus,0.9976,20240215
D20240215T150055_IFCB010_00160,Karenia,0.4548,20240215
D20240215T150055_IFCB010_00161,detritus,0.944,20240215
D20240215T150055_IFCB010_00162,Pyramimonas,0.3884,20240215
D20240215T150055_IFCB010_00163,detritus,0.967,20240215
D20240215T150055_IFCB010_00164,fiber,0.5166,20240215
D20240215T150055_IFCB010_00165,detritus,0.9644,20240215
D20240215T150055_IFCB010_00166,detritus,0.997,20240215
D20240215T150055_IFCB010_00167,nanoplankton_mix,0.7197,20240215
D20240215T150055_IFCB010_00168,fiber,1.0,20240215
D20240215T150055_IFCB010_00169,detritus,0.999,20240215
D20240215T150055_IFCB010_00170,fiber,1.0,20240215
D20240215T150055_IFCB010_00171,detritus,0.9985,20240215
D20240215T150055_IFCB010_00172,nanoplankton_mix,0.9927,20240215
D20240215T150055_IFCB010_00174,Syracosphaera_pulchra,0.907,20240215
D20240215T150055_IFCB010_00175,nanoplankton_mix,0.9985,20240215
D20240215T150055_IFCB010_00176,coccolithophorid,0.9897,20240215
D20240215T150055_IFCB010_00177,detritus,0.5903,20240215
D20240215T150055_IFCB010_00178,Bacillariophyceae,0.763,20240215
D20240215T150055_IFCB010_00179,detritus,0.942,20240215
D20240215T150055_IFCB010_00180,fiber,1.0,20240215
D20240215T150055_IFCB010_00181,detritus,0.999,20240215
D20240215T150055_IFCB010_00182,nanoplankton_mix,0.998,20240215
D20240215T150055_IFCB010_00183,detritus,0.9966,20240215
D20240215T150055_IFCB010_00184,detritus,0.3687,20240215
D20240215T150055_IFCB010_00185,Heterocapsa_rotundata,0.997,20240215
D20240215T150055_IFCB010_00186,detritus,0.99,20240215
D20240215T150055_IFCB010_00188,detritus,0.999,20240215
D20240215T150055_IFCB010_00189,Pyramimonas,0.996,20240215
D20240215T150055_IFCB010_00190,detritus_transparent,0.466,20240215
D20240215T150055_IFCB010_00191,fiber,1.0,20240215
D20240215T150055_IFCB010_00192,detritus,0.997,20240215
D20240215T150055_IFCB010_00193,fiber,1.0,20240215
D20240215T150055_IFCB010_00194,Dactyliosolen_blavyanus,1.0,20240215
D20240215T150055_IFCB010_00195,detritus,0.998,20240215
D20240215T150055_IFCB010_00196,fiber,0.9995,20240215
D20240215T150055_IFCB010_00197,detritus,0.9917,20240215
D20240215T150055_IFCB010_00198,detritus,0.9995,20240215
D20240215T150055_IFCB010_00199,Leptocylindrus,0.999,20240215
D20240215T150055_IFCB010_00201,detritus,1.0,20240215
D20240215T150055_IFCB010_00202,detritus,0.987,20240215
D20240215T150055_IFCB010_00203,fiber,0.676,20240215
D20240215T150055_IFCB010_00204,Syracosphaera_pulchra,0.544,20240215
D20240215T150055_IFCB010_00205,detritus,0.9946,20240215
D20240215T150055_IFCB010_00206,detritus,0.9995,20240215
D20240215T150055_IFCB010_00207,nanoplankton_mix,0.8467,20240215
D20240215T150055_IFCB010_00208,Bacillariophyceae,0.9443,20240215
D20240215T150055_IFCB010_00209,detritus,0.8096,20240215
D20240215T150055_IFCB010_00210,detritus,0.8916,20240215
D20240215T150055_IFCB010_00211,detritus,0.997,20240215
D20240215T150055_IFCB010_00212,Leptocylindrus,0.9995,20240215
D20240215T150055_IFCB010_00213,Thalassiosira_TAG_external_detritus,0.949,20240215
D20240215T150055_IFCB010_00214,detritus,0.987,20240215
D20240215T150055_IFCB010_00215,nanoplankton_mix,0.9233,20240215
D20240215T150055_IFCB010_00217,fiber,0.9565,20240215
D20240215T150055_IFCB010_00218,fiber,0.99,20240215
D20240215T150055_IFCB010_00219,nanoplankton_mix,0.9985,20240215
D20240215T150055_IFCB010_00220,detritus,1.0,20240215
D20240215T150055_IFCB010_00221,Skeletonema,0.6895,20240215
D20240215T150055_IFCB010_00222,nanoplankton_mix,0.997,20240215
D20240215T150055_IFCB010_00223,detritus,0.9883,20240215
D20240215T150055_IFCB010_00224,detritus,0.9976,20240215
D20240215T150055_IFCB010_00225,detritus,0.9985,20240215
D20240215T150055_IFCB010_00226,Asterionellopsis_glacialis,0.7954,20240215
D20240215T150055_IFCB010_00227,fiber,1.0,20240215
D20240215T150055_IFCB010_00228,Cryptophyta,0.3948,20240215
D20240215T150055_IFCB010_00229,detritus,0.9995,20240215
D20240215T150055_IFCB010_00230,detritus,0.999,20240215
D20240215T150055_IFCB010_00231,detritus,0.648,20240215
D20240215T150055_IFCB010_00232,detritus_transparent,0.997,20240215
D20240215T150055_IFCB010_00233,flagellate_morphotype3,0.732,20240215
D20240215T150055_IFCB010_00234,Bacillariophyceae,0.785,20240215
D20240215T150055_IFCB010_00235,Heterocapsa_rotundata,0.857,20240215
D20240215T150055_IFCB010_00236,detritus,1.0,20240215
D20240215T150055_IFCB010_00237,nanoplankton_mix,1.0,20240215
D20240215T150055_IFCB010_00238,Acanthoica_quattrospina,0.988,20240215
D20240215T150055_IFCB010_00239,detritus,0.9995,20240215
D20240215T150055_IFCB010_00240,fiber,0.9956,20240215
D20240215T150055_IFCB010_00241,Thalassiosira_TAG_external_detritus,0.686,20240215
D20240215T150055_IFCB010_00242,detritus,0.803,20240215
D20240215T150055_IFCB010_00244,detritus,0.9907,20240215
D20240215T150055_IFCB010_00246,fiber,1.0,20240215
D20240215T150055_IFCB010_00247,Cryptophyta,1.0,20240215
D20240215T150055_IFCB010_00248,detritus,1.0,20240215
D20240215T150055_IFCB010_00250,Tontonia_appendiculariformis,0.4604,20240215
D20240215T150055_IFCB010_00251,Dactyliosolen_blavyanus,0.6924,20240215
D20240215T150055_IFCB010_00252,detritus,0.924,20240215
D20240215T150055_IFCB010_00253,detritus,0.984,20240215
D20240215T150055_IFCB010_00254,detritus,0.994,20240215
D20240215T150055_IFCB010_00255,nanoplankton_mix,0.9785,20240215
D20240215T150055_IFCB010_00257,detritus_transparent,0.3386,20240215
D20240215T150055_IFCB010_00258,detritus,1.0,20240215
D20240215T150055_IFCB010_00259,Pseudo-nitzschia,0.712,20240215
D20240215T150055_IFCB010_00260,fiber,1.0,20240215
D20240215T150055_IFCB010_00261,detritus_transparent,0.9897,20240215
D20240215T150055_IFCB010_00263,Pyramimonas,0.4753,20240215
D20240215T150055_IFCB010_00264,flagellate,0.6787,20240215
D20240215T150055_IFCB010_00265,fiber,1.0,20240215
D20240215T150055_IFCB010_00266,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00267,nanoplankton_mix,0.991,20240215
D20240215T150055_IFCB010_00268,Corymbellus,0.621,20240215
D20240215T150055_IFCB010_00269,nanoplankton_mix,0.9956,20240215
D20240215T150055_IFCB010_00270,detritus,0.6465,20240215
D20240215T150055_IFCB010_00271,detritus_transparent,0.9883,20240215
D20240215T150055_IFCB010_00272,detritus,0.9766,20240215
D20240215T150055_IFCB010_00273,Cryptophyta,0.821,20240215
D20240215T150055_IFCB010_00274,Chrysochromulina,0.577,20240215
D20240215T150055_IFCB010_00275,detritus,0.991,20240215
D20240215T150055_IFCB010_00276,detritus,1.0,20240215
D20240215T150055_IFCB010_00277,Thalassiosira_TAG_external_detritus,0.7017,20240215
D20240215T150055_IFCB010_00278,nanoplankton_mix,1.0,20240215
D20240215T150055_IFCB010_00279,fiber_TAG_external_detritus,0.4812,20240215
D20240215T150055_IFCB010_00280,fiber,1.0,20240215
D20240215T150055_IFCB010_00281,Karenia,0.447,20240215
D20240215T150055_IFCB010_00282,detritus,0.995,20240215
D20240215T150055_IFCB010_00283,flagellate_morphotype3,0.961,20240215
D20240215T150055_IFCB010_00284,detritus,0.9985,20240215
D20240215T150055_IFCB010_00285,fiber,0.9995,20240215
D20240215T150055_IFCB010_00286,detritus,0.9995,20240215
D20240215T150055_IFCB010_00287,detritus_transparent,0.9985,20240215
D20240215T150055_IFCB010_00288,Asterionellopsis_glacialis,0.5024,20240215
D20240215T150055_IFCB010_00289,Protoperidinium,0.7383,20240215
D20240215T150055_IFCB010_00290,fiber,1.0,20240215
D20240215T150055_IFCB010_00291,Leptocylindrus,0.983,20240215
D20240215T150055_IFCB010_00292,detritus,0.9985,20240215
D20240215T150055_IFCB010_00293,detritus,0.968,20240215
D20240215T150055_IFCB010_00294,detritus,0.98,20240215
D20240215T150055_IFCB010_00295,Cryptophyta,1.0,20240215
D20240215T150055_IFCB010_00296,fiber,1.0,20240215
D20240215T150055_IFCB010_00298,nanoplankton_mix,0.9805,20240215
D20240215T150055_IFCB010_00299,Thalassiosira_TAG_external_detritus,0.9893,20240215
D20240215T150055_IFCB010_00300,detritus,0.9673,20240215
D20240215T150055_IFCB010_00301,fiber,1.0,20240215
D20240215T150055_IFCB010_00303,nanoplankton_mix,0.9985,20240215
D20240215T150055_IFCB010_00304,detritus,0.58,20240215
D20240215T150055_IFCB010_00305,fiber,0.954,20240215
D20240215T150055_IFCB010_00306,Rhizosolenia,1.0,20240215
D20240215T150055_IFCB010_00307,detritus,0.888,20240215
D20240215T150055_IFCB010_00308,detritus,1.0,20240215
D20240215T150055_IFCB010_00309,fiber,0.991,20240215
D20240215T150055_IFCB010_00310,Delphineis,0.6006,20240215
D20240215T150055_IFCB010_00311,detritus,0.998,20240215
D20240215T150055_IFCB010_00312,detritus,0.811,20240215
D20240215T150055_IFCB010_00313,detritus,0.97,20240215
D20240215T150055_IFCB010_00314,Cryptophyta,0.9746,20240215
D20240215T150055_IFCB010_00315,detritus,0.888,20240215
D20240215T150055_IFCB010_00316,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00317,detritus,0.9995,20240215
D20240215T150055_IFCB010_00318,nanoplankton_mix,0.451,20240215
D20240215T150055_IFCB010_00319,fiber,1.0,20240215
D20240215T150055_IFCB010_00320,fiber,1.0,20240215
D20240215T150055_IFCB010_00322,detritus,0.9614,20240215
D20240215T150055_IFCB010_00323,detritus,1.0,20240215
D20240215T150055_IFCB010_00325,detritus,0.8545,20240215
D20240215T150055_IFCB010_00326,detritus,0.999,20240215
D20240215T150055_IFCB010_00327,detritus,0.9995,20240215
D20240215T150055_IFCB010_00328,fiber,0.8335,20240215
D20240215T150055_IFCB010_00329,detritus,0.9995,20240215
D20240215T150055_IFCB010_00331,nanoplankton_mix,0.999,20240215
D20240215T150055_IFCB010_00332,detritus_transparent,0.9194,20240215
D20240215T150055_IFCB010_00333,detritus,1.0,20240215
D20240215T150055_IFCB010_00334,fiber_TAG_external_detritus,1.0,20240215
D20240215T150055_IFCB010_00335,detritus,0.99,20240215
D20240215T150055_IFCB010_00336,Paralia_sulcata,0.271,20240215
D20240215T150055_IFCB010_00337,detritus_transparent,0.777,20240215
D20240215T150055_IFCB010_00338,Leptocylindrus,0.9946,20240215
D20240215T150055_IFCB010_00339,nanoplankton_mix,0.9917,20240215
D20240215T150055_IFCB010_00340,detritus,0.9985,20240215
D20240215T150055_IFCB010_00342,nanoplankton_mix,0.9443,20240215
D20240215T150055_IFCB010_00343,detritus,0.791,20240215
D20240215T150055_IFCB010_00345,Karenia,0.4536,20240215
D20240215T150055_IFCB010_00346,nanoplankton_mix,0.848,20240215
D20240215T150055_IFCB010_00347,fiber,0.9966,20240215
D20240215T150055_IFCB010_00348,detritus,0.999,20240215
D20240215T150055_IFCB010_00349,fiber,1.0,20240215
D20240215T150055_IFCB010_00350,nanoplankton_mix,0.849,20240215
D20240215T150055_IFCB010_00352,detritus,0.9976,20240215
D20240215T150055_IFCB010_00353,Cryptophyta,0.518,20240215
D20240215T150055_IFCB010_00354,detritus_transparent,0.9976,20240215
D20240215T150055_IFCB010_00355,nanoplankton_mix,0.8774,20240215
D20240215T150055_IFCB010_00356,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00357,detritus,0.9893,20240215
D20240215T150055_IFCB010_00358,nanoplankton_mix,0.9995,20240215
D20240215T150055_IFCB010_00359,detritus,0.733,20240215
D20240215T150055_IFCB010_00360,detritus,1.0,20240215
D20240215T150055_IFCB010_00361,detritus,0.9995,20240215
D20240215T150055_IFCB010_00362,nanoplankton_mix,0.982,20240215
D20240215T150055_IFCB010_00363,fiber,1.0,20240215
D20240215T150055_IFCB010_00364,Pseudo-nitzschia,1.0,20240215
D20240215T150055_IFCB010_00365,detritus,0.9546,20240215
D20240215T150055_IFCB010_00366,detritus,0.6553,20240215
D20240215T150055_IFCB010_00367,fiber,1.0,20240215
D20240215T150055_IFCB010_00368,fiber,0.9995,20240215
D20240215T150055_IFCB010_00369,nanoplankton_mix,0.96,20240215
D20240215T150055_IFCB010_00370,bead,0.9766,20240215
D20240215T150055_IFCB010_00371,detritus,0.9956,20240215
D20240215T150055_IFCB010_00372,detritus,0.9985,20240215
D20240215T150055_IFCB010_00373,detritus,0.9805,20240215
D20240215T150055_IFCB010_00374,detritus,0.981,20240215
D20240215T150055_IFCB010_00375,detritus,1.0,20240215
D20240215T150055_IFCB010_00376,nanoplankton_mix,1.0,20240215
D20240215T150055_IFCB010_00377,Asterionellopsis_glacialis,1.0,20240215
D20240215T150055_IFCB010_00378,detritus,0.9624,20240215
D20240215T150055_IFCB010_00379,Leptocylindrus,1.0,20240215
D20240215T150055_IFCB010_00380,Bacillariophyceae,0.9795,20240215
D20240215T150055_IFCB010_00381,nanoplankton_mix,0.984,20240215
D20240215T150055_IFCB010_00382,detritus,0.6304,20240215
D20240215T150055_IFCB010_00383,detritus,0.9287,20240215
D20240215T150055_IFCB010_00384,Cryptophyta,0.722,20240215
D20240215T150055_IFCB010_00385,detritus,0.9985,20240215
D20240215T150055_IFCB010_00386,detritus,0.993,20240215
D20240215T150055_IFCB010_00387,fiber,0.992,20240215
D20240215T150055_IFCB010_00388,Leptocylindrus,0.9707,20240215
D20240215T150055_IFCB010_00389,Thalassiosira_TAG_external_detritus,0.9585,20240215
D20240215T150055_IFCB010_00390,detritus,0.976,20240215
D20240215T150055_IFCB010_00391,detritus,0.9546,20240215
D20240215T150055_IFCB010_00392,detritus_transparent,0.509,20240215
D20240215T150055_IFCB010_00393,fiber,1.0,20240215
D20240215T150055_IFCB010_00395,Acanthoica_quattrospina,0.3743,20240215
D20240215T150055_IFCB010_00396,detritus,1.0,20240215
D20240215T150055_IFCB010_00397,Cryptophyta,0.838,20240215
D20240215T150055_IFCB010_00398,nanoplankton_mix,1.0,20240215
D20240215T150055_IFCB010_00399,detritus,0.804,20240215
D20240215T150055_IFCB010_00400,nanoplankton_mix,0.9985,20240215
D20240215T150055_IFCB010_00401,fiber,0.926,20240215
D20240215T150055_IFCB010_00402,fiber,0.997,20240215
D20240215T150055_IFCB010_00403,Cerataulina_pelagica,0.9316,20240215
D20240215T150055_IFCB010_00404,nanoplankton_mix,0.9907,20240215
D20240215T150055_IFCB010_00406,detritus,1.0,20240215
D20240215T150055_IFCB010_00407,Bacillariophyceae,0.94,20240215
D20240215T150055_IFCB010_00408,bead,0.561,20240215
D20240215T150055_IFCB010_00409,detritus,0.9956,20240215
D20240215T150055_IFCB010_00410,Leptocylindrus,1.0,20240215
D20240215T150055_IFCB010_00411,fiber,1.0,20240215
D20240215T150055_IFCB010_00412,detritus,0.9946,20240215
D20240215T150055_IFCB010_00413,detritus_transparent,0.4885,20240215
D20240215T150055_IFCB010_00414,nanoplankton_mix,0.735,20240215
D20240215T150055_IFCB010_00415,fiber,0.81,20240215
D20240215T150055_IFCB010_00416,fiber,0.909,20240215
D20240215T150055_IFCB010_00417,fiber,0.957,20240215
D20240215T150055_IFCB010_00418,fiber,0.993,20240215
D20240215T150055_IFCB010_00420,Bacillariophyceae,0.9683,20240215
D20240215T150055_IFCB010_00421,fiber,0.9927,20240215
D20240215T150055_IFCB010_00422,Leptocylindrus,0.8696,20240215
D20240215T150055_IFCB010_00423,detritus,0.92,20240215
D20240215T150055_IFCB010_00424,detritus,0.93,20240215
D20240215T150055_IFCB010_00425,nanoplankton_mix,0.949,20240215
D20240215T150055_IFCB010_00426,fiber,1.0,20240215
D20240215T150055_IFCB010_00427,detritus,1.0,20240215
D20240215T150055_IFCB010_00428,Bacillariophyceae,0.9634,20240215
D20240215T150055_IFCB010_00429,nanoplankton_mix,0.9346,20240215
D20240215T150055_IFCB010_00430,nanoplankton_mix,0.984,20240215
D20240215T150055_IFCB010_00431,detritus,0.999,20240215
D20240215T150055_IFCB010_00432,nanoplankton_mix,0.9937,20240215
D20240215T150055_IFCB010_00433,detritus,0.82,20240215
D20240215T150055_IFCB010_00434,Dinophysis_norvegica,0.57,20240215
D20240215T150055_IFCB010_00435,nanoplankton_mix,0.999,20240215
D20240215T150055_IFCB010_00436,detritus,0.4956,20240215
D20240215T150055_IFCB010_00437,Bacillariophyceae,0.4778,20240215
D20240215T150055_IFCB010_00438,detritus_transparent,0.791,20240215
D20240215T150055_IFCB010_00439,detritus,0.999,20240215
D20240215T150055_IFCB010_00440,Thalassiosira_TAG_external_detritus,0.976,20240215
D20240215T150055_IFCB010_00441,detritus_transparent,0.9873,20240215
D20240215T150055_IFCB010_00442,Leptocylindrus,0.981,20240215
D20240215T150055_IFCB010_00443,fiber,1.0,20240215
D20240215T150055_IFCB010_00444,nanoplankton_mix,0.9062,20240215
D20240215T150055_IFCB010_00445,detritus,0.788,20240215
D20240215T150055_IFCB010_00446,detritus,1.0,20240215
D20240215T150055_IFCB010_00447,detritus,0.9995,20240215
D20240215T150055_IFCB010_00448,Cryptophyta,0.6045,20240215
D20240215T150055_IFCB010_00449,detritus,1.0,20240215
D20240215T150055_IFCB010_00450,Thalassiosira_TAG_external_detritus,0.6562,20240215
D20240215T150055_IFCB010_00451,detritus,0.9995,20240215
D20240215T150055_IFCB010_00452,detritus,0.9253,20240215
D20240215T150055_IFCB010_00453,nanoplankton_mix,0.9985,20240215
D20240215T150055_IFCB010_00454,detritus,1.0,20240215
D20240215T150055_IFCB010_00455,fiber,1.0,20240215
D20240215T150055_IFCB010_00456,nanoplankton_mix,0.944,20240215
D20240215T150055_IFCB010_00457,detritus,0.9775,20240215
D20240215T150055_IFCB010_00458,detritus,0.9976,20240215
D20240215T150055_IFCB010_00459,detritus,0.859,20240215
D20240215T150055_IFCB010_00460,detritus,1.0,20240215
D20240215T150055_IFCB010_00461,fiber,1.0,20240215
D20240215T150055_IFCB010_00462,detritus,0.9907,20240215
D20240215T150055_IFCB010_00463,Cryptophyta,0.4294,20240215
D20240215T150055_IFCB010_00464,detritus_transparent,0.8965,20240215
